SAMPLENAME	index	index_type
HAWX_25hm_20241015_CD16_PB__TBH3_sampled_TBH_3_58_R1.fastq	423	unique barcodes
HAWX_25hm_20241015_CD56_PB__TBH3_sampled_TBH_3_59_R1.fastq	758	unique barcodes
HAWX_25hm_20241015_DN_PB__TBH3_sampled_TBH_3_57_R1.fastq	710	unique barcodes
HAWX_25hm_20241015_Mono_PB__TBH3_sampled_TBH_3_54_R1.fastq	2467	unique barcodes
HAWX_25hm_20241015_NKG2A_PB__TBH3_sampled_TBH_3_56_R1.fastq	797	unique barcodes
HAWX_25hm_20241015_T_PB__TBH3_sampled_TBH_3_52_R1.fastq	2121	unique barcodes
HAWX_25hm_20241015_T2_PB__TBH3_sampled_TBH_3_60_R1.fastq	1886	unique barcodes
HAWX_26hm_20241112_B_PB__TBH3_sampled_TBH_3_1_R1.fastq	1537	unique barcodes
HAWX_26hm_20241112_CD16_PB__TBH3_sampled_TBH_3_3_R1.fastq	1159	unique barcodes
HAWX_26hm_20241112_CD56_PB__TBH3_sampled_TBH_3_4_R1.fastq	6	unique barcodes
HAWX_26hm_20241112_DN_PB__TBH3_sampled_TBH_3_5_R1.fastq	3	unique barcodes
HAWX_26hm_20241112_Gr_PB__TBH3_sampled_TBH_3_7_R1.fastq	2397	unique barcodes
HAWX_26hm_20241112_Mono_PB__TBH3_sampled_TBH_3_2_R1.fastq	2391	unique barcodes
HAWX_26hm_20241112_T_PB__TBH3_sampled_TBH_3_6_R1.fastq	1861	unique barcodes
HAWX_2m_20221011_B_1_PB_NA_CD218_sampled_DA_8140_41_S41_L002_R1_001.fastq	8569	unique barcodes
HAWX_2m_20221011_CD16p_PB_NA_CD218_sampled_DA_8140_14_S14_L002_R1_001.fastq	3979	unique barcodes
HAWX_2m_20221011_CD56p_PB_NA_CD218_sampled_DA_8140_10_S10_L002_R1_001.fastq	1711	unique barcodes
HAWX_2m_20221011_DN_PB_NA_CD218_sampled_DA_8140_13_S13_L002_R1_001.fastq	3476	unique barcodes
HAWX_2m_20221011_Mono_PB_NA_CD218_sampled_DA_8140_12_S12_L002_R1_001.fastq	6090	unique barcodes
HAWX_2m_20221011_NKG2Ap_PB_NA_CD218_sampled_DA_8140_11_S11_L002_R1_001.fastq	2442	unique barcodes
HAWX_2m_20221011_T_1_PB_NA_CD218_sampled_DA_8140_37_S37_L002_R1_001.fastq	7602	unique barcodes
HAWX_3hm_20221121_B_PB__CD219_sampled_new12bp_43_S40_L002_R1_001.fastq	7524	unique barcodes
HAWX_3hm_20221121_CD16p_PB__CD219_sampled_new12bp_3_S6_L002_R1_001.fastq	5912	unique barcodes
HAWX_3hm_20221121_CD34p_LBM__CD219_sampled_new12bp_47_S46_L002_R1_001.fastq	267	unique barcodes
HAWX_3hm_20221121_CD56p_PB__CD219_sampled_new12bp_4_S4_L002_R1_001.fastq	180	unique barcodes
HAWX_3hm_20221121_DN_PB__CD219_sampled_new12bp_5_S8_L002_R1_001.fastq	903	unique barcodes
HAWX_3hm_20221121_Gr_LBM__CD219_sampled_new12bp_45_S44_L002_R1_001.fastq	4624	unique barcodes
HAWX_3hm_20221121_Gr_PB__CD219_sampled_new12bp_44_S43_L002_R1_001.fastq	5421	unique barcodes
HAWX_3hm_20221121_Gr_RBM__CD219_sampled_new12bp_46_S45_L002_R1_001.fastq	4820	unique barcodes
HAWX_3hm_20221121_Mono_PB__CD219_sampled_new12bp_1_S1_L002_R1_001.fastq	4650	unique barcodes
HAWX_3hm_20221121_NKG2Ap_PB__CD219_sampled_new12bp_2_S3_L002_R1_001.fastq	18	unique barcodes
