SAMPLENAME	index	index_type
H64K_2m_2022425_B_PB_NA_CD214_sampled_8bp_NEW_18_S38_L002_R1_001.fastq	6013	unique barcodes
H64K_2m_2022425_CD16p_PB_NA_CD214_sampled_8bp_NEW_21_S41_L002_R1_001.fastq	4544	unique barcodes
H64K_2m_2022425_CD56p_PB_NA_CD214_sampled_8bp_NEW_22_S42_L002_R1_001.fastq	639	unique barcodes
H64K_2m_2022425_DN_PB_NA_CD214_sampled_8bp_NEW_23_S43_L002_R1_001.fastq	1930	unique barcodes
H64K_2m_2022425_Gr_PB_NA_CD214_sampled_8bp_NEW_11_S56_L002_R1_001.fastq	1331	unique barcodes
H64K_2m_2022425_Gr_PB_NA_CD214_sampled_8bp_NEW_7_S55_L002_R1_001.fastq	6431	unique barcodes
H64K_2m_2022425_Mono_PB_NA_CD214_sampled_8bp_NEW_19_S39_L002_R1_001.fastq	4467	unique barcodes
H64K_2m_2022425_NKG2Ap_PB_NA_CD214_sampled_8bp_NEW_20_S40_L002_R1_001.fastq	2727	unique barcodes
H64K_2m_2022425_T_1_PB_NA_CD214_sampled_8bp_NEW_15_S36_L002_R1_001.fastq	762	unique barcodes
H64K_2m_2022425_T_2_PB_NA_CD214_sampled_8bp_NEW_16_S37_L002_R1_001.fastq	1122	unique barcodes
H64K_3hm_202267_B_BM_NA_CD215_sampled_DA_7657_18_S18_L002_R1_001.fastq	3319	unique barcodes
H64K_3hm_202267_B_LN_NA_CD215_sampled_DA_7657_20_S20_L002_R1_001.fastq	4942	unique barcodes
H64K_3hm_202267_B_PB_NA_CD215_sampled_DA_7657_16_S16_L002_R1_001.fastq	1571	unique barcodes
H64K_3hm_202267_CD16p_BM_NA_CD215_sampled_DA_7657_6_S6_L002_R1_001.fastq	127	unique barcodes
H64K_3hm_202267_CD16p_LN_NA_CD215_sampled_DA_7657_10_S10_L002_R1_001.fastq	3683	unique barcodes
H64K_3hm_202267_CD16p_PB__CD218_sampled_DA_8140_45_S45_L002_R1_001.fastq	3811	unique barcodes
H64K_3hm_202267_CD16p_PB_NA_CD215_sampled_DA_7657_2_S2_L002_R1_001.fastq	2725	unique barcodes
H64K_3hm_202267_CD34p_LBM_NA_CD215_sampled_DA_7657_13_S13_L002_R1_001.fastq	4735	unique barcodes
H64K_3hm_202267_CD34p_RBM__CD218_sampled_DA_8140_28_S28_L002_R1_001.fastq	2665	unique barcodes
H64K_3hm_202267_CD34p_RBM_NA_CD215_sampled_DA_7657_14_S14_L002_R1_001.fastq	7048	unique barcodes
H64K_3hm_202267_CD34p_RBM_NA_CD215_sampled_DA_7657_26_S26_L002_R1_001.fastq	9489	unique barcodes
H64K_3hm_202267_CD56p_BM_NA_CD215_sampled_DA_7657_7_S7_L002_R1_001.fastq	2986	unique barcodes
H64K_3hm_202267_CD56p_LN_NA_CD215_sampled_DA_7657_11_S11_L002_R1_001.fastq	3145	unique barcodes
H64K_3hm_202267_CD56p_PB_NA_CD215_sampled_DA_7657_3_S3_L002_R1_001.fastq	3983	unique barcodes
H64K_3hm_202267_DN_BM_NA_CD215_sampled_DA_7657_8_S8_L002_R1_001.fastq	3059	unique barcodes
H64K_3hm_202267_DN_LN_NA_CD215_sampled_DA_7657_12_S12_L002_R1_001.fastq	3255	unique barcodes
H64K_3hm_202267_DN_PB_NA_CD215_sampled_DA_7657_4_S4_L002_R1_001.fastq	4216	unique barcodes
H64K_3hm_202267_Gr_LBM_NA_CD215_sampled_DA_7657_22_S22_L002_R1_001.fastq	6976	unique barcodes
H64K_3hm_202267_Gr_PB_NA_CD215_sampled_DA_7657_21_S21_L002_R1_001.fastq	7934	unique barcodes
H64K_3hm_202267_Gr_RBM_NA_CD215_sampled_DA_7657_23_S23_L002_R1_001.fastq	2917	unique barcodes
H64K_3hm_202267_Mono_BM_NA_CD215_sampled_DA_7657_5_S5_L002_R1_001.fastq	365	unique barcodes
H64K_3hm_202267_Mono_LN_NA_CD215_sampled_DA_7657_9_S9_L002_R1_001.fastq	6637	unique barcodes
H64K_3hm_202267_Mono_PB_NA_CD215_sampled_DA_7657_1_S1_L002_R1_001.fastq	892	unique barcodes
H64K_3hm_202267_T_BM_NA_CD215_sampled_DA_7657_17_S17_L002_R1_001.fastq	780	unique barcodes
H64K_3hm_202267_T_LN_NA_CD215_sampled_DA_7657_19_S19_L002_R1_001.fastq	5208	unique barcodes
H64K_3hm_202267_T_1_PB__CD218_sampled_DA_8140_44_S44_L002_R1_001.fastq	5375	unique barcodes
H64K_3hm_202267_T_2_LN_NA_CD215_sampled_DA_7657_24_S24_L002_R1_001.fastq	4957	unique barcodes
H64K_3hm_202267_T_2_PB__CD218_sampled_DA_8140_43_S43_L002_R1_001.fastq	7288	unique barcodes
H64K_3hm_202267_T_2_PB_NA_CD215_sampled_DA_7657_15_S15_L002_R1_001.fastq	3602	unique barcodes
H64K_4m_2022627_B_PB_NA_CD216_sampled_new12bp_18_S19_L001_L002_R1_001.fastq	5057	unique barcodes
H64K_4m_2022627_CD16p_PB_NA_CD216_sampled_new12bp_20_S22_L001_L002_R1_001.fastq	3189	unique barcodes
H64K_4m_2022627_CD56p_PB_NA_CD216_sampled_new12bp_21_S18_L001_L002_R1_001.fastq	2581	unique barcodes
H64K_4m_2022627_DN_PB_NA_CD216_sampled_new12bp_22_S23_L001_L002_R1_001.fastq	5384	unique barcodes
H64K_4m_2022627_Gr_PB_NA_CD216_sampled_new12bp_23_S25_L001_L002_R1_001.fastq	3214	unique barcodes
H64K_4m_2022627_Mono_PB_NA_CD216_sampled_new12bp_19_S21_L001_L002_R1_001.fastq	2941	unique barcodes
H64K_4m_2022627_T_1_PB_NA_CD216_sampled_new12bp_17_S17_L001_L002_R1_001.fastq	4483	unique barcodes
H64K_5m_2022725_B_PB_NA_CD216_sampled_new12bp_25_S26_L001_L002_R1_001.fastq	4552	unique barcodes
